timestamp_ms,seq,red,ir,red_corrected,ir_corrected,hour,day,month,weekday,ir_corrected_lag1,ir_corrected_lag2,ir_corrected_rolling_mean,ir_corrected_rolling_std,ir_corrected_diff
1970-01-01 00:00:00.000135093,1,40603,100950,-10.78806342832994,-4.396234730692758,0,1,1,3,,,,,
1970-01-01 00:00:00.000135113,2,40616,100938,2.142788596852313,-15.10566862684167,0,1,1,3,-4.396234730692758,,,,-10.709433896148912
1970-01-01 00:00:00.000135133,3,40603,100945,-12.051503149987948,-7.542110206633485,0,1,1,3,-15.10566862684167,-4.396234730692758,,,7.563558420208185
1970-01-01 00:00:00.000135153,4,40612,100939,-0.7691659035321763,-14.245303360060204,0,1,1,3,-7.542110206633485,-15.10566862684167,,,-6.703193153426719
1970-01-01 00:00:00.000135173,5,40621,100933,8.087457181992205,-20.55219023030498,0,1,1,3,-14.245303360060204,-7.542110206633485,,,-6.306886870244776
1970-01-01 00:00:00.000135193,6,40606,100932,-7.905470850113863,-20.737921795986853,0,1,1,3,-20.55219023030498,-14.245303360060204,,,-0.18573156568187343
1970-01-01 00:00:00.000135213,7,40597,100920,-16.592344508449596,-32.69311072634576,0,1,1,3,-20.737921795986853,-20.55219023030498,,,-11.955188930358904
1970-01-01 00:00:00.000135233,8,40599,100916,-16.334325071064363,-37.22748557144673,0,1,1,3,-32.69311072634576,-20.737921795986853,,,-4.53437484510097
1970-01-01 00:00:00.000135253,9,40588,100905,-25.38853841628248,-47.1797950473888,0,1,1,3,-37.22748557144673,-32.69311072634576,,,-9.952309475942073
1970-01-01 00:00:00.000135276,10,40596,100902,-17.972481304628026,-49.652008655223504,0,1,1,3,-47.1797950473888,-37.22748557144673,-24.933182895092475,15.948243458441913,-2.4722136078347035
1970-01-01 00:00:00.000135296,11,40577,100860,-36.07693190770778,-91.47686886617504,0,1,1,3,-49.652008655223504,-47.1797950473888,-33.6412463086407,24.80392093389595,-41.824860210951535
1970-01-01 00:00:00.000135316,12,40574,100846,-38.617089018479085,-105.54742244541316,0,1,1,3,-91.47686886617504,-49.652008655223504,-42.68542169049785,32.56799704974755,-14.070553579238123
1970-01-01 00:00:00.000135339,13,40575,100839,-37.74546329091838,-111.47599273908492,0,1,1,3,-105.54742244541316,-91.47686886617504,-53.078809943742996,36.45840097639917,-5.928570293671754
1970-01-01 00:00:00.000135349,14,40576,100847,-36.88873952489934,-102.58198732548696,0,1,1,3,-111.47599273908492,-105.54742244541316,-61.912478340285666,36.704709627733116,8.894005413597952
1970-01-01 00:00:00.000135369,15,40558,100785,-53.58064584985831,-163.80219354667395,0,1,1,3,-102.58198732548696,-111.47599273908492,-76.23747867192256,45.63612806999657,-61.220206221186984
1970-01-01 00:00:00.000135399,16,40558,100788,-51.30330384095476,-160.5006371523248,0,1,1,3,-163.80219354667395,-102.58198732548696,-90.21375020755636,48.08629172907186,3.3015563943491486
1970-01-01 00:00:00.000135409,17,40562,100759,-48.04163730469722,-188.575193785417,0,1,1,3,-160.5006371523248,-163.80219354667395,-105.8019585134635,52.437317399804314,-28.074556633092214
1970-01-01 00:00:00.000135439,18,40553,100771,-56.57222288850344,-176.1500100642008,0,1,1,3,-188.575193785417,-160.5006371523248,-119.69421096273891,50.62223220566259,12.4251837212162
1970-01-01 00:00:00.000135459,19,40543,100725,-67.05595439709367,-221.08594965957155,0,1,1,3,-176.1500100642008,-188.575193785417,-137.08482642395717,52.76899620103011,-44.93593959537074
1970-01-01 00:00:00.000135479,20,40533,100716,-77.63519911360451,-228.5885708903238,0,1,1,3,-221.08594965957155,-176.1500100642008,-154.97848264746722,50.09736180513669,-7.502621230752254
1970-01-01 00:00:00.000135499,21,40551,100699,-57.82981089377272,-244.5222136956769,0,1,1,3,-228.5885708903238,-221.08594965957155,-170.28301713041736,51.88775064001194,-15.933642805353088
1970-01-01 00:00:00.000135519,22,40549,100700,-59.18389270573591,-242.83031338591823,0,1,1,3,-244.5222136956769,-228.5885708903238,-184.0113062244679,51.010676179474146,1.6919003097586653
1970-01-01 00:00:00.000135534,23,40547,100694,-61.76331121553145,-247.33882467086707,0,1,1,3,-242.83031338591823,-244.5222136956769,-197.59758941764613,47.5183400134311,-4.508511284948838
1970-01-01 00:00:00.000135555,24,40535,100736,-73.45895470161709,-202.9894699805872,0,1,1,3,-247.33882467086707,-242.83031338591823,-207.63833768315612,33.854058047324436,44.34935469027988
1970-01-01 00:00:00.000135575,25,40541,100723,-66.31687141542189,-215.67101986430148,0,1,1,3,-202.9894699805872,-247.33882467086707,-212.8252203149189,30.16391175699963,-12.681549883714297
1970-01-01 00:00:00.000135598,26,40540,100720,-66.70269270065776,-218.3370178133182,0,1,1,3,-215.67101986430148,-202.9894699805872,-218.60885838101822,23.913658040924254,-2.665997949016713
1970-01-01 00:00:00.000135613,27,40528,100714,-79.44016926905209,-222.8035093096001,0,1,1,3,-218.3370178133182,-215.67101986430148,-222.03168993343652,21.461033673701202,-4.46649149628189
1970-01-01 00:00:00.000135633,28,40534,100721,-74.10642994820039,-213.56818430337887,0,1,1,3,-222.8035093096001,-218.3370178133182,-225.77350735735436,14.801179009649779,9.235325006221217
1970-01-01 00:00:00.000135653,29,40539,100719,-66.60809665936492,-214.6678572184792,0,1,1,3,-213.56818430337887,-222.8035093096001,-225.1316981132451,15.16178374679095,-1.0996729151003422
1970-01-01 00:00:00.000135681,30,40541,100718,-62.58130159239299,-215.44231963817123,0,1,1,3,-214.6678572184792,-213.56818430337887,-223.81707298802985,15.396857078630372,-0.7744624196920142
1970-01-01 00:00:00.000135691,31,40538,100704,-65.92413925662798,-228.3501849651626,0,1,1,3,-215.44231963817123,-214.6678572184792,-222.1998701149784,13.740700581547399,-12.907865326991384
1970-01-01 00:00:00.000135711,32,40529,100716,-76.13414642931086,-214.60244044379863,0,1,1,3,-228.3501849651626,-215.44231963817123,-219.37708282076647,11.793058877600853,13.747744521363984
1970-01-01 00:00:00.000135733,33,40543,100705,-61.324915196105934,-224.8006624684936,0,1,1,3,-214.60244044379863,-228.3501849651626,-217.1232666005291,7.058843724738824,-10.198222024694985
1970-01-01 00:00:00.000135757,34,40535,100704,-67.82392587353853,-224.11627814386844,0,1,1,3,-224.8006624684936,-214.60244044379863,-219.23594741685724,5.301459692147175,0.6843843246251708
1970-01-01 00:00:00.000135777,35,40532,100689,-71.86464164001993,-237.39484932736016,0,1,1,3,-224.11627814386844,-224.8006624684936,-221.40833036316312,7.621561572957511,-13.27857118349172
1970-01-01 00:00:00.000135800,36,40547,100709,-55.62668172832119,-216.1355563432336,0,1,1,3,-237.39484932736016,-224.11627814386844,-221.18818421615464,7.750830415147821,21.259292984126574
1970-01-01 00:00:00.000135811,37,40523,100680,-79.11256307761568,-243.95685965705871,0,1,1,3,-216.1355563432336,-237.39484932736016,-223.30351925090054,10.602595238917834,-27.821303313825126
